Beverly Hills|34,979|3.5|33,784|3.7|20.0|17.6|54.5|85.1|1.8|0.1|7.1|Z|4.5|4.6|55.2|38.2|44.2|90.8|54.5|23.9|15,856|43.4|1,000,001|15,035|2.24|70,945|65,507|9.1|663,890|1,747,234|50,283|423,519|14,300|4.6|F|3.9|5.2|F|20.9|5|5,958.4|06308|Los Angeles County 
Brea|38,585|8.8|35,410|6.1|25.6|11.4|51.2|77.3|1.3|0.5|9.1|0.2|3.8|20.3|53.9|17.2|24.4|88.4|33.5|28.5|13,327|64.2|261,700|13,067|2.70|59,759|26,307|5.3|3,866,256|919,216|24,962|143,455|4,629|F|F|12.1|S|F|19.1|10|3,359.6|08100|Orange County 
Buena Park|79,664|2.2|78,282|8.1|29.4|9.3|50.4|53.0|3.8|1.0|21.1|0.5|5.5|33.5|50.8|33.0|48.3|75.8|19.7|28.6|23,826|57.1|199,400|23,332|3.32|50,336|18,031|11.3|1,487,819|1,382,878|17,531|98,659|5,717|S|S|35.5|16.8|F|25.0|10|7,406.1|08786|Orange County 
Burbank|104,317|4.0|100,316|5.7|22.3|12.8|51.5|72.2|2.1|0.6|9.2|0.1|6.0|24.9|53.6|31.1|42.6|83.1|29.0|25.1|42,847|43.5|256,400|41,608|2.39|47,467|25,713|10.5|1,440,882|1,462,877|14,276|271,712|14,055|2.4|S|9.7|12.2|F|26.8|17|5,781.9|08954|Los Angeles County 
Burlingame|27,573|-2.0|28,158|5.6|19.2|15.2|52.2|76.9|1.1|0.2|13.8|0.5|4.0|10.6|53.9|24.6|28.5|92.9|47.9|26.1|12,869|47.9|685,900|12,511|2.21|68,526|43,565|5.7|2,595,305|668,579|24,098|168,673|4,628|F|F|17.9|9.1|F|27.4|4|6,503.0|09066|San Mateo County 
Calexico|37,243|37.3|27,109|7.8|34.9|10.4|53.4|46.6|0.5|0.7|1.8|0.0|3.5|95.3|57.2|51.2|94.1|47.4|9.1|22.1|6,983|55.2|108,200|6,814|3.96|28,929|9,981|25.7|407,771|414,464|13,489|32,697|2,108|F|S|7.5|S|F|S|6|4,351.4|09710|Imperial County 
Camarillo|62,489|9.2|57,077|6.6|25.3|17.0|51.6|80.7|1.5|0.5|7.2|0.2|3.6|15.5|51.6|13.3|19.8|90.6|32.9|22.5|21,946|73.5|252,100|21,438|2.62|62,457|28,635|5.3|D|1,103,634|18,625|89,087|6,094|S|S|S|6.3|F|24.6|18|3,015.2|10046|Ventura County 
Campbell|37,520|-1.6|38,138|6.5|21.6|9.7|50.4|72.8|2.5|0.7|14.2|0.2|4.8|13.3|50.0|21.7|26.7|89.7|39.7|25.3|16,286|48.2|436,800|15,920|2.38|67,214|34,441|4.8|622,469|654,514|17,560|95,060|4,677|F|F|9.5|5.7|F|22.2|5|6,798.2|10345|Santa Clara County 
Carlsbad|92,928|18.7|78,247|6.4|23.3|14.0|51.1|86.6|1.0|0.4|4.2|0.2|3.0|11.7|42.3|12.7|17.0|93.1|45.7|28.7|33,798|67.4|330,100|31,521|2.46|65,145|34,863|5.9|1,699,821|2,019,554|23,418|293,107|12,046|S|F|S|S|F|23.8|37|2,089.9|11194|San Diego County 
Carson|93,805|4.5|89,730|6.9|28.4|10.7|51.7|25.7|25.4|0.6|22.3|3.0|5.1|34.9|62.0|32.9|49.9|70.6|18.1|26.6|25,337|77.9|183,200|24,648|3.59|52,284|17,107|9.3|5,338,112|1,505,764|16,375|86,531|6,319|20.9|S|25.8|23.5|F|30.9|18|4,762.7|11530|Los Angeles County 
Cathedral City|52,461|22.4|42,647|8.8|31.1|12.2|49.3|65.3|2.7|1.0|3.7|0.1|4.1|50.0|43.9|29.5|47.6|69.0|14.7|21.6|17,893|65.2|125,500|14,027|3.03|38,887|16,215|13.6|D|820,851|17,677|50,838|3,893|F|F|S|30.1|F|25.3|19|2,223.5|12048|Riverside County 
Ceres|42,245|21.8|34,609|8.6|34.4|8.1|50.8|64.5|2.7|1.4|5.0|0.4|5.5|37.9|50.7|19.0|36.1|67.0|8.3|28.6|10,773|66.2|119,900|10,435|3.31|40,736|14,420|12.9|108,455|324,753|8,873|32,513|1,838|F|F|16.7|21.1|F|S|6|4,986.9|12524|Stanislaus County 
Cerritos|52,353|1.7|51,488|4.7|24.5|9.7|51.3|26.9|6.7|0.3|58.4|0.2|3.8|10.4|65.3|45.5|60.0|90.7|43.7|29.3|15,607|83.5|281,000|15,390|3.34|73,030|25,249|5.0|3,015,386|2,397,507|45,772|83,237|5,707|S|F|S|6.2|F|S|8|5,973.1|12552|Los Angeles County 
Chico|73,316|10.1|59,954|6.0|21.1|9.9|50.9|82.4|2.0|1.3|4.2|0.2|4.3|12.3|30.2|9.0|14.1|87.3|33.6|17.4|24,386|40.4|141,600|23,476|2.42|29,359|16,970|26.6|347,457|1,383,062|20,313|157,884|5,491|F|F|F|S|F|30.1|27|2,161.3|13014|Butte County 
Chino|79,289|13.6|67,168|7.2|28.5|5.9|44.6|55.7|7.8|0.9|4.9|0.2|4.9|47.4|53.7|20.4|38.4|70.7|13.0|32.6|17,898|68.7|173,600|17,304|3.43|55,401|17,574|8.3|1,490,203|784,757|10,839|81,496|5,135|S|F|S|26.4|F|17.0|21|3,190.9|13210|San Bernardino County 
Chino Hills|75,282|12.7|66,787|8.7|32.9|4.2|50.3|56.4|5.5|0.6|22.1|0.1|4.7|25.7|51.9|22.7|35.6|89.9|37.6|39.8|20,414|84.8|242,600|20,039|3.33|78,374|26,182|5.1|D|373,845|5,177|38,962|5,613|S|S|26.1|10.0|F|32.2|44|1,490.4|13214|San Bernardino County 
Chula Vista|212,756|22.6|173,556|7.8|28.7|11.0|51.5|55.1|4.6|0.8|11.0|0.6|5.8|49.6|47.2|28.7|52.6|78.5|22.2|26.5|59,495|57.4|197,000|57,705|2.99|44,861|18,556|10.6|820,069|1,783,315|9,255|214,822|12,876|S|1.1|12.8|44.3|S|37.4|48|3,550.7|13392|San Diego County 
Citrus Heights|84,547|-0.6|85,071|6.8|25.2|12.9|51.6|84.6|2.9|1.0|2.8|0.3|4.7|10.0|46.5|9.2|12.6|88.5|18.2|26.7|34,897|57.2|137,300|33,478|2.52|43,859|20,744|8.3|D|934,879|10,605|98,615|6,161|1.8|F|S|S|F|30.6|14|5,928.3|13588|Sacramento County 
Claremont|35,103|3.3|33,998|4.3|20.7|14.6|53.0|73.5|5.0|0.6|11.5|0.1|4.1|15.4|49.4|15.8|24.5|92.4|52.4|25.7|11,559|66.7|251,000|11,281|2.56|65,910|28,843|8.0|D|445,970|12,854|58,515|3,347|S|F|S|12.4|F|S|13|2,587.4|13756|Los Angeles County 
Clovis|89,316|29.3|68,468|7.6|30.7|9.4|52.0|75.8|1.9|1.5|6.5|0.2|4.6|20.3|49.4|8.0|17.1|85.0|23.1|20.8|25,250|60.4|125,200|24,347|2.79|42,283|18,690|10.6|51,324|1,098,122|14,758|82,245|5,350|F|F|10.9|S|F|S|17|3,999.3|14218|Fresno County 
Colton|51,427|7.5|47,662|10.0|34.9|6.4|50.7|42.7|11.0|1.3|5.3|0.2|5.1|60.7|48.2|24.0|48.5|68.8|12.2|26.6|15,680|52.0|105,200|14,520|3.26|35,777|13,460|19.6|284,361|606,246|12,184|42,646|2,681|S|F|S|S|F|27.2|15|3,154.3|14890|San Bernardino County 
Compton|95,701|2.3|93,493|10.4|38.5|6.9|51.0|16.7|40.3|0.7|0.3|1.1|3.6|56.8|59.0|31.4|55.2|48.0|5.9|29.0|23,795|56.3|136,200|22,327|4.16|31,819|10,389|28.0|D|201,004|2,110|39,836|4,303|27.8|F|5.1|37.4|F|28.8|10|9,229.3|15044|Los Angeles County 
Concord|122,204|0.3|121,780|7.1|25.3|10.7|50.6|70.7|3.0|0.8|9.4|0.5|5.9|21.8|51.5|23.4|30.3|84.7|25.9|31.9|45,083|62.6|233,700|44,020|2.74|55,597|24,727|7.6|1,049,210|2,208,279|17,718|178,739|9,684|1.6|2.3|S|S|F|35.4|30|4,040.5|16000|Contra Costa County 
Corona|150,253|17.5|124,966|9.8|33.4|5.8|50.5|62.0|6.4|0.9|7.5|0.3|5.3|35.7|39.4|21.4|35.8|80.6|22.0|35.3|39,271|67.5|194,400|37,839|3.29|59,615|21,001|8.3|4,377,509|1,661,278|11,802|138,202|11,708|5.2|S|16.5|19.0|F|30.7|35|3,555.2|16350|Riverside County 
Costa Mesa|109,809|0.3|108,724|7.1|23.2|8.4|48.8|69.5|1.4|0.8|6.9|0.6|4.3|31.8|43.8|29.2|37.5|79.1|29.1|22.8|40,406|40.5|273,100|39,206|2.69|50,732|23,342|12.6|7,689,569|2,899,454|26,261|374,373|13,604|1.1|F|9.2|11.2|F|29.4|15|6,956.1|16532|Orange County 
Covina|47,833|2.1|46,837|7.4|28.1|10.9|52.1|62.1|5.0|0.9|9.8|0.2|4.8|40.3|50.7|20.0|35.6|81.9|18.8|30.8|16,364|58.4|189,500|15,971|2.89|48,474|20,231|11.6|222,296|482,335|10,104|63,367|4,316|S|F|S|20.6|F|25.6|6|6,719.8|16742|Los Angeles County 
Culver City|39,403|1.5|38,816|5.5|20.9|13.9|53.3|59.2|12.0|0.7|12.0|0.2|5.7|23.7|57.2|26.6|35.2|87.2|41.2|26.0|17,130|54.4|311,100|16,611|2.31|51,792|29,025|8.6|1,195,143|1,824,859|46,110|129,404|6,971|5.9|F|12.1|S|F|27.4|5|7,596.1|17568|Los Angeles County 
Cupertino|52,948|0.8|50,546|6.1|26.6|11.0|50.1|50.1|0.7|0.2|44.4|0.1|3.1|4.0|49.3|42.8|50.0|95.5|65.4|25.8|18,682|63.6|649,000|18,204|2.75|100,411|44,749|4.8|D|1,218,870|23,627|99,726|4,841|F|F|28.0|F|F|25.8|10|4,620.3|17610|Santa Clara County 
Cypress|47,606|2.2|46,229|6.0|27.0|10.6|51.3|65.6|2.8|0.6|20.8|0.4|4.4|15.7|55.0|21.3|29.8|89.7|31.2|29.1|16,028|69.4|252,800|15,654|2.93|64,377|25,798|6.0|6,001,850|245,333|5,209|67,357|4,019|F|F|30.9|8.6|F|22.7|6|6,993.8|17750|Orange County 
Daly City|101,005|-2.5|103,621|6.0|22.5|12.0|50.8|25.9|4.6|0.4|50.7|0.9|6.2|22.3|56.4|52.4|66.4|82.0|29.1|29.9|31,311|59.8|335,000|30,775|3.34|62,310|21,900|7.1|68,540|768,296|7,564|96,056|5,702|S|F|46.7|S|F|25.8|7|13,706.5|17918|San Mateo County 
Dana Point|35,945|2.4|35,110|5.6|20.6|13.0|50.0|87.2|0.8|0.6|2.5|0.1|2.8|15.5|46.0|15.7|17.4|90.7|41.0|28.9|15,682|62.0|381,400|14,456|2.41|63,043|37,938|6.7|307,163|202,247|5,666|244,507|4,939|F|F|S|S|F|29.2|6|5,287.7|17946|Orange County 
Danville|41,540|-0.4|41,715|7.1|28.6|10.3|51.5|86.3|0.9|0.2|9.0|0.1|2.5|4.7|53.9|11.0|13.2|96.6|59.4|30.9|15,130|89.1|541,400|14,816|2.78|114,064|50,773|2.2|304,202|313,711|7,401|52,401|5,010|F|F|8.2|S|F|32.9|18|2,306.0|17988|Contra Costa County 
Davis|60,964|3.9|60,308|4.6|18.6|6.6|52.3|70.1|2.3|0.7|17.5|0.2|4.9|9.6|30.5|17.2|24.4|96.4|68.6|20.6|23,617|44.6|238,500|22,948|2.50|42,454|22,937|24.5|D|425,096|6,842|84,875|4,744|S|F|S|4.2|F|32.7|10|5,771.1|18100|Yolo County 
Delano|50,310|27.0|38,824|9.1|32.5|7.5|43.5|26.2|5.4|0.9|15.9|0.1|4.5|68.5|47.4|38.2|72.5|48.7|5.5|23.2|8,830|59.4|86,700|8,409|4.02|28,143|11,068|28.2|157,179|218,015|5,227|21,118|1,224|F|F|14.9|S|F|19.0|10|3,844.0|18394|Kern County 
Diamond Bar|57,759|2.6|56,287|5.7|27.0|7.5|51.0|41.0|4.8|0.3|42.8|0.1|4.2|18.5|56.9|38.3|53.9|90.7|42.3|34.7|17,959|82.6|245,800|17,651|3.18|68,871|25,472|6.0|2,830,262|259,178|4,493|59,937|6,092|3.3|S|40.2|S|F|29.4|14|3,813.5|19192|Los Angeles County 
Downey|109,376|1.9|107,323|8.0|29.2|11.0|51.4|53.5|3.8|0.9|7.7|0.2|4.9|57.9|50.3|35.3|60.3|72.3|17.3|28.0|34,759|51.8|209,700|33,989|3.11|45,667|18,197|11.1|727,944|1,173,379|10,753|129,483|8,664|S|S|12.3|39.4|F|26.6|12|8,641.1|19766|Los Angeles County 
Dublin|41,840|39.2|29,973|5.9|21.0|4.6|47.3|69.4|10.1|0.7|10.3|0.3|3.9|13.5|45.7|13.6|19.0|86.3|32.9|31.1|9,872|64.9|330,700|9,325|2.65|77,283|29,451|2.9|730,251|1,075,989|31,351|91,900|2,868|F|S|S|S|F|30.6|12|2,380.7|20018|Alameda County 
East Palo Alto|32,784|11.1|29,506|10.0|35.0|5.1|48.5|27.0|23.0|0.8|2.2|7.6|4.6|58.8|54.2|43.8|64.8|48.2|10.6|25.9|7,091|43.5|302,100|6,976|4.20|45,006|13,774|16.2|D|164,748|5,221|19,778|948|S|F|F|S|F|S|2|11,571.0|20956|San Mateo County 
El Cajon|91,756|-3.3|94,869|8.2|27.9|11.3|51.2|74.0|5.4|1.0|2.8|0.4|6.0|22.5|40.1|17.5|26.7|79.2|14.5|26.1|35,190|40.5|190,200|34,199|2.70|35,566|16,698|16.7|618,238|1,643,904|17,320|134,976|7,100|F|F|3.7|S|F|22.5|14|6,511.3|21712|San Diego County 
El Centro|40,563|6.7|37,835|8.4|33.6|9.3|50.9|46.9|3.2|1.0|3.5|0.1|3.7|74.6|49.6|34.4|71.6|62.9|14.0|18.5|12,263|50.2|104,300|11,439|3.23|33,161|13,874|22.8|190,823|589,474|15,605|56,939|2,288|F|F|F|51.2|F|S|9|3,949.4|21782|Imperial County 
El Monte|123,162|6.2|115,965|10.0|34.1|6.9|49.5|35.7|0.8|1.4|18.5|0.1|4.3|72.4|50.7|51.3|80.7|44.2|7.1|27.2|27,758|41.0|158,100|27,034|4.24|32,439|10,316|26.1|787,023|1,789,611|15,037|57,176|6,491|F|F|S|33.4|F|29.0|9|12,142.9|22230|Los Angeles County 
Elk Grove|129,184|59.3|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|252,764|1,098,447|12,484|92,268|6,530|S|F|16.0|9.7|F|30.9|X|X|22020|Sacramento County 
Encinitas|59,260|2.3|58,014|5.9|23.1|10.4|50.2|86.6|0.6|0.5|3.1|0.1|2.9|14.8|49.5|13.9|19.4|91.1|50.0|27.0|23,843|64.2|353,300|22,830|2.52|63,954|34,336|7.3|299,048|973,601|16,395|125,682|8,992|F|F|S|S|F|32.3|19|3,035.8|22678|San Diego County 
Escondido|133,510|-0.2|133,559|8.8|29.7|11.0|50.4|67.8|2.3|1.2|4.5|0.2|4.8|38.7|40.2|25.5|38.1|72.6|20.1|27.3|45,050|53.2|192,600|43,817|3.01|42,567|18,241|13.4|528,507|2,261,183|16,732|147,024|10,389|S|F|8.7|17.2|F|42.0|36|3,681.3|22804|San Diego County 
Eureka|25,435|-2.6|26,128|5.7|22.4|13.7|50.5|82.5|1.6|4.2|3.6|0.3|5.1|7.8|43.5|5.5|9.4|81.7|16.9|14.9|11,637|46.5|114,000|10,957|2.26|25,849|16,174|23.7|166,799|704,106|27,183|78,007|2,658|F|F|S|F|F|23.7|9|2,764.9|23042|Humboldt County 
Fairfield|104,897|9.1|96,178|8.5|29.8|9.0|50.2|56.2|15.0|0.8|10.9|0.9|7.4|18.8|45.0|16.3|24.4|85.0|20.4|29.5|31,792|59.7|174,700|30,870|2.98|51,151|20,617|9.3|1,347,489|1,243,366|12,258|130,111|5,641|13.7|F|11.3|S|F|34.8|37|2,554.5|23182|Solano County 
Folsom|66,123|27.4|51,884|6.9|24.2|8.8|44.8|77.9|6.0|0.6|7.2|0.2|3.4|9.5|38.9|8.8|13.4|88.9|37.6|27.7|17,968|76.3|228,700|17,196|2.61|73,175|30,210|7.3|741,726|1,364,104|22,430|100,746|4,746|2.1|F|6.4|4.4|F|29.7|21|2,386.6|24638|Sacramento County 
Fontana|170,099|31.1|128,929|10.3|37.8|4.7|50.4|45.0|11.8|1.1|4.4|0.3|5.4|57.7|44.8|26.9|50.4|65.4|10.3|35.1|35,908|68.1|130,400|34,014|3.78|45,782|14,208|14.7|3,209,720|999,245|6,964|88,051|7,743|S|F|10.3|38.0|F|24.2|36|3,569.5|24680|San Bernardino County 
Foster City|28,937|0.5|28,803|5.9|21.2|10.1|50.8|59.3|2.1|0.1|32.5|0.6|4.1|5.3|50.0|35.2|39.7|95.6|59.8|27.3|12,009|61.5|566,500|11,613|2.47|95,279|45,754|2.9|2,665,941|249,159|8,552|55,825|2,969|S|F|S|S|F|30.6|3|7,660.4|25338|San Mateo County 
Fountain Valley|55,857|1.6|54,978|6.0|23.5|11.3|51.1|64.0|1.1|0.5|25.8|0.4|4.3|10.7|59.6|27.6|35.4|88.6|34.4|26.5|18,473|74.7|289,500|18,162|3.00|69,734|26,521|4.3|D|948,353|17,100|91,161|6,452|F|F|25.0|6.0|F|31.1|8|6,170.4|25380|Orange County 
Fremont|201,691|-0.8|203,413|7.4|25.8|8.3|49.7|47.7|3.1|0.5|37.0|0.4|5.8|13.5|49.4|37.1|46.9|88.4|43.2|31.4|69,452|64.5|363,400|68,237|2.96|76,579|31,411|5.4|10,697,253|2,797,428|13,613|212,454|14,998|S|F|38.1|S|F|31.9|76|2,652.4|26000|Alameda County 
Fresno|466,714|8.8|427,652|9.1|32.9|9.3|50.9|50.2|8.4|1.6|11.2|0.1|5.2|39.9|46.2|20.3|39.5|69.1|19.0|21.7|149,025|50.6|97,300|140,079|2.99|32,236|15,010|26.2|4,350,082|4,743,378|10,683|544,790|26,881|5.2|3.1|13.9|19.3|S|S|104|4,097.9|27000|Fresno County 
Fullerton|132,918|5.3|126,003|7.0|25.1|11.3|50.6|61.9|2.3|0.7|16.1|0.2|4.0|30.2|49.1|28.9|41.2|81.8|31.3|27.4|44,771|53.9|241,900|43,609|2.83|50,269|23,370|11.4|2,896,807|1,420,275|11,042|173,303|10,914|3.1|S|21.1|9.0|F|32.9|22|5,675.8|28000|Orange County 
Garden Grove|166,296|0.7|165,196|7.9|28.5|9.5|49.9|46.9|1.3|0.8|30.9|0.7|4.1|32.5|49.8|43.1|59.2|67.8|15.0|27.3|46,703|59.6|199,700|45,791|3.56|47,754|16,209|13.9|1,301,383|1,307,234|7,845|211,687|13,200|0.8|F|42.5|11.6|F|23.0|18|9,167.4|29000|Orange County 
Gardena|59,733|3.0|57,746|7.5|25.8|12.4|51.3|23.8|26.0|0.6|26.8|0.7|5.1|31.8|56.7|32.8|48.1|74.0|16.6|25.5|21,041|47.3|179,500|20,324|2.80|38,988|17,263|15.7|984,737|620,853|10,439|104,907|5,324|12.7|F|41.7|S|F|25.3|5|9,922.0|28168|Los Angeles County 
