"city","pop","poppc","pop2000","babies","children","elderly","female","white","black","native","asian","islander","multir","hispanic","stayput","foreign","nonenglish","highschool","grads","commute","units","ownership","housevalue","households","housesold_size","housesold_income","income","poverty","trade_sales","retail_sales","retail_sales_pc","accomod","firms","firms_black","firms_native","firms_asian","firms_hispanic","firms_islander","firms_female","area","density","fips","county"
"Ceres",42245,21.8,34609,8.6,34.4,8.1,50.8,64.5,2.7,1.4,5,0.4,5.5,37.9,50.7,19,36.1,67,8.3,28.6,10773,66.2,119900,10435,3.31,40736,14420,12.9,108455,324753,8873,32513,1838,NA,NA,16.7,21.1,NA,NA,6,4986.9,12524,"Stanislaus County "
"Cerritos",52353,1.7,51488,4.7,24.5,9.7,51.3,26.9,6.7,0.3,58.4,0.2,3.8,10.4,65.3,45.5,60,90.7,43.7,29.3,15607,83.5,281000,15390,3.34,73030,25249,5,3015386,2397507,45772,83237,5707,NA,NA,NA,6.2,NA,NA,8,5973.1,12552,"Los Angeles County "
"Chico",73316,10.1,59954,6,21.1,9.9,50.9,82.4,2,1.3,4.2,0.2,4.3,12.3,30.2,9,14.1,87.3,33.6,17.4,24386,40.4,141600,23476,2.42,29359,16970,26.6,347457,1383062,20313,157884,5491,NA,NA,NA,NA,NA,30.1,27,2161.3,13014,"Butte County "
"Chino",79289,13.6,67168,7.2,28.5,5.9,44.6,55.7,7.8,0.9,4.9,0.2,4.9,47.4,53.7,20.4,38.4,70.7,13,32.6,17898,68.7,173600,17304,3.43,55401,17574,8.3,1490203,784757,10839,81496,5135,NA,NA,NA,26.4,NA,17,21,3190.9,13210,"San Bernardino County "
"Chino Hills",75282,12.7,66787,8.7,32.9,4.2,50.3,56.4,5.5,0.6,22.1,0.1,4.7,25.7,51.9,22.7,35.6,89.9,37.6,39.8,20414,84.8,242600,20039,3.33,78374,26182,5.1,NA,373845,5177,38962,5613,NA,NA,26.1,10,NA,32.2,44,1490.4,13214,"San Bernardino County "
"Chula Vista",212756,22.6,173556,7.8,28.7,11,51.5,55.1,4.6,0.8,11,0.6,5.8,49.6,47.2,28.7,52.6,78.5,22.2,26.5,59495,57.4,197000,57705,2.99,44861,18556,10.6,820069,1783315,9255,214822,12876,NA,1.1,12.8,44.3,NA,37.4,48,3550.7,13392,"San Diego County "
"Citrus Heights",84547,-0.6,85071,6.8,25.2,12.9,51.6,84.6,2.9,1,2.8,0.3,4.7,10,46.5,9.2,12.6,88.5,18.2,26.7,34897,57.2,137300,33478,2.52,43859,20744,8.3,NA,934879,10605,98615,6161,1.8,NA,NA,NA,NA,30.6,14,5928.3,13588,"Sacramento County "
"Claremont",35103,3.3,33998,4.3,20.7,14.6,53,73.5,5,0.6,11.5,0.1,4.1,15.4,49.4,15.8,24.5,92.4,52.4,25.7,11559,66.7,251000,11281,2.56,65910,28843,8,NA,445970,12854,58515,3347,NA,NA,NA,12.4,NA,NA,13,2587.4,13756,"Los Angeles County "
"Clovis",89316,29.3,68468,7.6,30.7,9.4,52,75.8,1.9,1.5,6.5,0.2,4.6,20.3,49.4,8,17.1,85,23.1,20.8,25250,60.4,125200,24347,2.79,42283,18690,10.6,51324,1098122,14758,82245,5350,NA,NA,10.9,NA,NA,NA,17,3999.3,14218,"Fresno County "
"Colton",51427,7.5,47662,10,34.9,6.4,50.7,42.7,11,1.3,5.3,0.2,5.1,60.7,48.2,24,48.5,68.8,12.2,26.6,15680,52,105200,14520,3.26,35777,13460,19.6,284361,606246,12184,42646,2681,NA,NA,NA,NA,NA,27.2,15,3154.3,14890,"San Bernardino County "
