"city","pop","poppc","pop2000","babies","children","elderly","female","white","black","native","asian","islander","multir","hispanic","stayput","foreign","nonenglish","highschool","grads","commute","units","ownership","housevalue","households","housesold_size","housesold_income","income","poverty","trade_sales","retail_sales","retail_sales_pc","accomod","firms","firms_black","firms_native","firms_asian","firms_hispanic","firms_islander","firms_female","area","density","fips","county"
"Hayward",140606,0.4,140030,7.9,26.8,10.2,50.4,43,11,0.8,19,1.9,7.5,34.2,50,34.8,48.9,75.1,19.9,31.3,45922,53.2,237300,44804,3.08,51177,19695,10,5944251,1751998,12374,132729,9317,NA,NA,NA,NA,NA,23.7,44,3158.8,33000,"Alameda County "
"Hemet",70136,19.1,58812,6.5,22.6,33.1,54.2,80.5,2.6,1.2,1.5,0.1,3.5,23.1,42.3,11.5,19.7,73.5,10.8,28.9,29401,64.6,93700,25252,2.26,26839,16226,16.3,NA,822808,13029,71450,3704,NA,NA,NA,NA,NA,NA,25,2293.8,33182,"Riverside County "
"Hesperia",83351,32.9,62582,7.9,32.8,11,50.7,74.3,4,1.3,1.1,0.2,4.7,29.4,49.7,9.8,20.7,72.6,8,39.1,21348,72.3,95900,19966,3.12,40201,15487,14.1,110107,260914,3892,43263,4408,NA,NA,NA,22.4,NA,26.2,67,929.2,33434,"San Bernardino County "
"Highland",51550,15.4,44605,9.5,35.6,6.5,51.2,56.2,12.1,1.3,6.1,0.3,5.2,36.6,45.9,19.1,33.1,72,16.1,27.1,14858,66.6,128500,13478,3.29,41230,16039,21.5,NA,117597,2502,15423,2558,NA,NA,NA,NA,NA,40.6,13,3272.6,33588,"San Bernardino County "
"Hollister",35690,3.7,34413,10,34.6,6.3,49.5,59.1,1.4,1.1,2.8,0.2,5.4,55.1,45.9,20.8,42.7,72.3,15,34.4,9924,67,266300,9716,3.52,56104,18857,9.5,NA,371054,10230,33258,2356,NA,NA,NA,17.7,NA,NA,6,5237.9,34120,"San Benito County "
"Huntington Beach",194436,2.5,189594,6.2,22.2,10.4,49.9,79.2,0.8,0.7,9.3,0.2,3.9,14.7,50.1,16.9,21.9,89.6,36,28.7,75662,60.6,311800,73657,2.56,64824,31964,6.6,3957264,1945786,10078,272862,21035,0.6,NA,8.7,NA,NA,29.3,26,7184.3,36000,"Orange County "
"Huntington Park",62165,1.3,61348,10.4,35.8,5.1,49.9,41.4,0.8,1,0.8,0.1,4.9,95.6,46.3,55.9,90.9,32.2,4.7,29.5,15335,27.4,164700,14860,4.12,28941,9340,25.2,407237,420725,6725,58717,3273,NA,NA,8.2,57.8,NA,NA,3,20246.9,36056,"Los Angeles County "
"Imperial Beach",26137,-3.2,26992,8.4,29.4,7.5,50.1,62.3,5.3,1.1,6.5,0.6,6.5,40.1,39.1,20.4,39.2,77,11.7,28.7,9739,30,171700,9272,2.84,35882,16003,18.8,27712,42300,1564,17331,1273,NA,NA,NA,NA,NA,45,4,6321.3,36294,"San Diego County "
"Indio",76896,56.6,49116,10.4,35.3,9.1,49.7,48.7,2.8,1,1.5,0.1,3.9,75.4,49.6,33.2,64.5,55.7,8.6,21,16909,56.2,99000,13871,3.48,34624,13525,21.5,183099,572502,10596,51475,3028,NA,NA,NA,59.3,NA,48.6,26,1840.2,36448,"Riverside County "
"Inglewood",114914,2.1,112580,9.1,32.4,7.1,52.5,19.1,47.1,0.7,1.1,0.4,4.2,46,52.9,29.5,46.8,63.7,13.3,29.7,38648,36.3,175000,36805,3.02,34269,14776,22.5,377427,636530,5562,78803,8003,NA,NA,7.8,27.5,NA,NA,9,12317.3,36546,"Los Angeles County "
"Irvine",193956,34.6,143072,5.6,23.5,7.2,51.6,61.1,1.4,0.2,29.8,0.1,4.8,7.4,39.2,32.1,39.7,95.3,58.4,22.8,53711,60,316800,51199,2.66,72057,32196,9.1,39615179,2960830,18246,494336,22210,1.4,NA,21.3,3.7,NA,21,46,3098.1,36770,"Orange County "
"La Habra",59264,0.5,58974,8.4,29.1,10.8,50.7,63,1.6,1,5.9,0.2,4.7,49,48.7,27,43.8,73.4,18.2,29.2,19441,56.6,199500,18947,3.08,47652,18923,12.9,NA,698407,11697,74866,4152,NA,NA,NA,25,NA,23.2,7,8045.6,39290,"Orange County "
"La Mesa",53043,-3.1,54749,5.7,19.8,17,52.8,80.6,4.9,0.7,4.1,0.4,4.3,13.5,46.6,11.6,17.2,89.6,27.6,24,24943,47.2,198700,24186,2.22,41693,22372,9.4,128482,1138377,20847,122904,5327,NA,NA,NA,7.6,NA,26.2,9,5912.4,40004,"San Diego County "
"La Mirada",49733,6.3,46783,6.3,26.2,13.8,51.7,64.5,1.9,0.8,14.9,0.3,4.1,33.5,60.7,22.7,36.9,84.5,25.2,28.4,14811,82,210700,14580,3.1,61632,22404,5.6,2239108,294034,6101,61231,3649,NA,NA,NA,21.1,NA,28.3,7,5959.6,40032,"Los Angeles County "
"La Puente",41526,1.1,41063,9,33.8,7.7,50,39.1,2,1.3,7.2,0.2,5.2,83.1,60,43.5,76.1,49.7,7.8,30.3,9660,60.9,146500,9461,4.34,41222,11336,18.9,NA,263656,6318,26666,2155,NA,NA,17.9,47.8,NA,15.9,3,11765.9,40340,"Los Angeles County "
"La Verne",33316,5.3,31638,5.8,25.2,13.1,51.9,77.1,3.2,0.6,7.2,0.2,4.3,23.1,57.8,14.5,23.7,88.7,31.6,30.6,11286,77.5,242100,11070,2.79,61326,26689,4.7,322501,224691,6913,42094,2772,NA,NA,8.4,15.4,NA,16.7,8,3807.2,40830,"Los Angeles County "
"Laguna Hills",32156,0.5,31178,6.1,26.2,12.1,51.9,76.8,1.4,0.4,10.2,0.2,3.8,16.4,53,22.3,28,91,39.3,27,11303,75.2,330500,10895,2.82,70234,36133,5,498464,597117,18526,79979,5226,NA,NA,16.9,NA,NA,NA,6,4909.9,39220,"Orange County "
"Laguna Niguel",64771,3.2,61891,7,26.6,8.9,51.3,83.5,1.3,0.3,7.7,0.1,3.6,10.4,49.2,17.5,21.4,95.2,47.8,30.4,23885,75,374800,23217,2.65,80733,39167,4.1,286962,901040,14120,57680,7812,NA,NA,NA,3.4,NA,24.3,14,4221.8,39248,"Orange County "
"Lake Elsinore",45033,55.7,28928,9.8,36,6.7,50.1,65.6,5.2,1.3,2,0.3,5.2,38,38,17.2,30.3,71.3,8.6,41.5,9505,64.6,144800,8817,3.27,41884,15413,17,NA,421582,13234,46778,2426,NA,NA,NA,NA,NA,42.6,33,855.9,39486,"Riverside County "
"Lake Forest",76323,0.4,58707,7.1,27,8.6,50.8,76,1.8,0.5,9.7,0.2,4.2,18.6,50.6,21.1,27.1,88.7,33.9,25.3,20486,72,278000,20008,2.89,67967,28583,5.3,1999863,714896,9322,105111,8150,NA,NA,9.6,9.9,NA,NA,12,4700.3,39496,"Orange County "
"Lakewood",80055,0.9,79345,7.1,27.5,11.9,51.6,62.7,7.3,0.6,13.5,0.6,5.2,22.8,60.8,19,29.1,85.1,20.7,27.3,27310,72,202800,26853,2.95,58214,22095,7.4,NA,980801,12184,115850,5146,NA,NA,NA,19.6,NA,31.7,9,8414.1,39892,"Los Angeles County "
"Lancaster",140804,18.6,118718,8,32.3,8.6,49.2,62.8,16,1,3.8,0.2,5,24.1,43.2,13,21.7,78.3,15.8,31.6,41745,61.4,103700,38224,2.92,41127,16935,16.4,304653,1228486,9923,121748,7412,13.7,NA,NA,NA,NA,36.7,94,1263,40130,"Los Angeles County "
"Lawndale",32016,1,31711,9.3,31.9,5.6,49.4,42.2,12.6,1,9.6,0.9,6.6,52.1,44.5,38.7,57.5,63.4,12.5,25.3,9869,33.2,178700,9555,3.31,39012,13702,17.3,70892,195574,6077,22463,2224,4.7,NA,NA,NA,NA,23.5,1,16015.7,40886,"Los Angeles County "
"Livermore",79438,8.2,73345,7.7,28.1,7.5,50,81.9,1.6,0.6,5.8,0.3,4.5,14.4,47.4,12.2,16.1,89.6,31.6,31.3,26610,72.2,314600,26123,2.8,75322,31062,5.3,2357661,932972,12254,103665,5976,NA,NA,10.3,10.8,NA,38.6,23,3066.3,41992,"Alameda County "
"Lodi",62451,9.4,56999,7.9,28.2,14.3,51.2,74.4,0.6,0.9,5.1,0.1,4.9,27.1,46.4,18.8,29.7,72.9,15.6,22.5,21378,54.6,141500,20692,2.71,39570,18719,16.7,448886,724740,11973,74535,4360,NA,NA,NA,NA,NA,NA,12,4656.8,42202,"San Joaquin County "
"Lompoc",39883,-3,41103,8,29.9,9.4,46.9,65.8,7.3,1.6,3.9,0.3,5.4,37.3,50.5,17.9,31.9,74.4,13.8,25.7,13621,51.6,148300,13059,2.88,37587,15509,15.4,NA,295400,7187,49126,2097,NA,6.2,5.6,NA,NA,39.2,11,3531.2,42524,"Santa Barbara County "
"Long Beach",472494,2.4,461522,8.4,29.2,9.1,50.9,45.2,14.9,0.8,12,1.2,5.3,35.8,45.2,28.6,44.2,72.7,23.9,28.7,171632,41,210000,163088,2.77,37270,19040,22.8,6470706,2599922,5525,646802,31742,NA,2,12.5,19.8,NA,31,50,9149.9,43000,"Los Angeles County "
"Los Altos",27483,-0.8,27693,5.9,23.7,19.3,51.8,80.3,0.5,0.2,15.4,0.2,2.8,3,66.5,17.6,20.2,97.2,71.3,22.1,10727,85.6,983000,10462,2.61,126740,66776,2.4,319751,203672,7508,49572,3937,NA,NA,14.4,NA,NA,34.3,6,4361.1,43280,"Santa Clara County "
"Los Angeles",3849378,4.2,3694820,7.7,26.6,9.7,50.2,46.9,11.2,0.8,10,0.2,5.2,46.5,49.5,40.9,57.8,66.6,25.5,29.6,1337706,38.6,221600,1275412,2.83,36687,20671,22.1,49019131,30196646,7976,5592058,395667,6.6,1.5,12.1,21.4,NA,29.8,469,7876.9,44000,"Los Angeles County "
"Los Banos",34717,34.1,25869,9.4,35.1,9.3,50.2,58.6,4.3,1.4,2.3,0.3,6.2,50.4,46.9,18.9,40.1,69.6,9.9,44.5,8049,67.9,140200,7721,3.33,43690,15582,12.1,NA,209047,7082,21578,1426,NA,NA,NA,39.7,NA,37,8,3217.5,44028,"Merced County "
"Los Gatos",28366,-1,28592,5,21.2,15.3,52.5,86.7,0.8,0.3,7.6,0.1,3.3,5.2,54.7,14.9,17.4,96,58.9,26.6,12367,65.3,784600,11988,2.33,94319,56094,4.3,NA,641809,22816,85590,4781,NA,NA,NA,NA,NA,27.9,10,2669.7,44112,"Santa Clara County "
"Lynwood",71061,1.7,69845,10.6,38,4.2,48.9,33.6,13.5,1.2,0.8,0.4,4.4,82.3,54.8,43.6,78.1,38.5,4.5,30.7,14987,47.1,146700,14395,4.7,35888,9542,23.5,NA,192246,2707,37313,3174,12.6,NA,NA,64.1,NA,25.2,4,14401,44574,"Los Angeles County "
"Madera",54959,26.3,43207,10.7,35.4,8.8,49.3,48.1,3.9,2.8,1.4,0.1,5.7,67.8,47.5,31.7,55.7,52.8,9.3,25.5,12521,52.7,93600,11978,3.57,31033,11674,32.5,127016,374069,8135,30958,1955,NA,NA,NA,NA,NA,NA,12,3515.6,45022,"Madera County "
"Manhattan Beach",36665,8.3,33852,6.5,22.3,10.4,49.6,89,0.6,0.2,6,0.1,2.8,5.2,55.4,9.1,11.7,96.8,67.6,28.9,15034,65.1,672600,14474,2.34,100750,61136,3.2,820048,594453,16848,143766,5572,NA,NA,12.7,NA,NA,41.6,3,8613.7,45400,"Los Angeles County "
"Manteca",63709,28.1,49258,7.5,31.6,9.3,51,74.2,2.9,1.3,3.5,0.4,6.2,25.1,49.8,10.7,19.3,78.3,11,34.2,16937,63,156100,16368,2.98,46677,18241,9.7,NA,580779,10240,54826,3045,NA,NA,12.1,NA,NA,34.5,15,3096,45484,"San Joaquin County "
"Martinez",35593,-0.8,35866,5.6,22.7,10.1,50.4,81,3.3,0.7,6.6,0.2,4.7,10.2,54.1,9.5,13.9,91.1,32.1,27.9,14597,68.8,254300,14300,2.41,63010,29701,5.2,494809,223712,6117,38740,3036,NA,NA,NA,NA,NA,24.6,12,2927.8,46114,"Contra Costa County "
"Maywood",28714,2.2,28083,11.4,37,4.2,49,43,0.4,1.1,0.4,0.1,4.5,96.3,49.3,55.2,91.9,29.6,2.3,29.2,6701,29.4,156100,6469,4.33,30480,8926,24.5,94691,79168,2766,14932,1313,NA,NA,NA,67.5,NA,NA,1,23799.2,46492,"Los Angeles County "
"Menlo Park",29981,-2.6,30785,6.6,21.9,15.9,51.5,72.4,7,0.4,7.1,1.3,3.2,15.6,52.9,22.8,27.2,89,61.7,24.6,12714,57,778500,12387,2.41,84609,53341,6.9,654127,504421,16722,84334,4711,NA,NA,9.8,NA,NA,34.3,10,3039,46870,"San Mateo County "
"Merced",76313,18.9,63893,9.2,34.7,9.4,51.1,52.4,6.3,1.3,11.4,0.2,5.2,41.4,43.5,22.1,41.5,68.5,13.6,21.6,21532,46.5,106400,20435,3.06,30429,13115,27.9,NA,935888,13704,72382,3517,NA,NA,NA,NA,NA,NA,19,3217.2,46898,"Merced County "
"Milpitas",64292,2.5,62698,7.2,24.6,7,47.4,30.9,3.7,0.6,51.8,0.6,4.9,16.6,53.2,47.3,60,83.2,36.5,24,17364,69.8,372900,17132,3.47,84429,27823,5,3609911,777192,12260,231759,4619,NA,NA,40.2,NA,NA,18.9,13,4623.7,47766,"Santa Clara County "
"Mission Viejo",94848,2.4,93102,6.9,27.1,10.9,51.1,83.2,1.1,0.4,7.7,0.2,3.6,12.1,54.2,16.5,21.1,93.8,41.2,27.9,32985,81.4,293300,32449,2.84,78248,33302,3.8,6441832,1241532,12990,103567,10382,NA,NA,7.4,4,NA,28.1,18,4989.4,48256,"Orange County "
"Modesto",205721,9,188856,7.6,30.1,11.1,51.5,69.6,4,1.2,6,0.5,5.9,25.6,49.3,15.8,28.1,75,16.5,25.7,67179,58.7,126000,64959,2.86,40394,17797,15.7,1035715,2483944,12241,307448,12475,NA,NA,8.3,15.7,NA,28.4,35,5276.8,48354,"Stanislaus County "
"Monrovia",38006,2.9,36929,8,27.4,10.4,52,62.9,8.7,0.9,7,0.1,4.8,35.2,49.4,21.5,35.3,78,25.1,27.1,13957,47.9,229600,13502,2.71,45375,21686,13.1,216571,708052,18770,76078,3618,NA,NA,12.1,14,NA,28.9,13,2685.7,48648,"Los Angeles County "
"Montclair",35544,7.1,33049,8.9,33.1,8.3,50.1,44.8,6.4,1,8.1,0.3,4.8,60,53.4,34.1,57.1,60.4,9.6,31.6,9066,60.6,135700,8800,3.69,40797,13556,17.4,175720,900103,26221,64575,2325,9.5,NA,NA,32.6,NA,NA,5,6480.2,48788,"San Bernardino County "
"Montebello",62968,1.3,62150,8.1,28.6,12.4,52,46.8,0.9,1.2,11.6,0.1,5.5,74.6,58.2,38,72.5,62.1,14.3,27.5,19416,47.5,199000,18844,3.28,38805,15125,17,1629118,759281,12002,69110,4358,NA,NA,19.3,NA,NA,34.5,8,7533.3,48816,"Los Angeles County "
"Monterey",28803,-3.1,29674,5,16.6,14.9,50.8,80.8,2.5,0.6,7.4,0.3,4.4,10.9,38.8,17.8,25,91.6,46.2,15.7,13382,38.5,399800,12600,2.13,49109,27133,7.8,1031179,427420,14281,310599,4173,NA,NA,3.9,NA,NA,33,8,3515.9,48872,"Monterey County "
"Monterey Park",62183,3.6,60051,5.6,21.3,17.9,52,21.3,0.4,0.7,61.8,0.1,3.4,28.9,61,53.6,75.9,71.6,25.1,27.3,20209,54,216500,19564,3.06,40724,17661,15.6,454627,391124,6367,82212,5862,NA,NA,64.3,10.1,NA,NA,7,7870.4,48914,"Los Angeles County "
"Moorpark",35668,13.6,31415,8.1,34.2,4.5,50.1,74.4,1.5,0.5,5.6,0.1,3.9,27.8,57.4,19.2,28.3,84.7,34.2,28.7,9094,82.1,281300,8994,3.49,76642,25383,7,NA,80367,2331,NA,2751,NA,NA,NA,NA,NA,35.7,19,1651.7,49138,"Ventura County "
"Moreno Valley",183571,28.9,142381,8.8,36.8,5.5,51.1,46.8,19.9,0.9,5.9,0.5,5.8,38.4,46.3,20,34.9,74.5,14,35.3,41431,71.1,118900,39225,3.61,47387,14983,14.2,NA,883999,5870,95061,8102,13.1,NA,9.8,26.9,NA,31.4,51,2779.3,49270,"Riverside County "
"Morgan Hill",35982,9.1,33556,8.1,30.5,7.5,50.4,72.4,1.7,1.1,6,0.2,5.1,27.5,47.1,15.2,25.6,86.8,33.5,33.9,11091,72.5,435200,10846,3.05,81958,33047,4.7,969718,352383,10668,46200,3067,NA,NA,NA,14.6,NA,25.4,11,2875.4,49278,"Santa Clara County "
"Mountain View",70090,-0.9,70708,6,18,10.5,48.3,63.8,2.5,0.4,20.7,0.3,4.1,18.3,42.6,35,39.9,89,55.3,32,32432,41.5,546900,31242,2.25,69362,39693,6.8,2283763,989828,14213,163052,6763,NA,NA,21.1,NA,NA,29.4,12,5863,49670,"Santa Clara County "
"Murrieta",90457,77.8,44282,7.5,33.7,11.4,51,81.6,3.4,0.7,4,0.2,4.3,17.5,42.2,8.6,15.5,90,23,35.7,14921,79.7,190700,14320,3.08,60911,23290,4.3,NA,530660,8760,45175,5517,3.2,NA,NA,NA,NA,22.2,28,1559.8,50076,"Riverside County "
"Napa",74966,3,72585,6.8,25.7,13.8,50.9,80.3,0.5,0.9,1.7,0.2,3.7,26.8,49,19.3,26.1,79.2,23.3,23.9,27776,60.6,238300,26978,2.64,49154,23642,8.9,506208,906626,12101,146147,6611,NA,NA,4.4,7,NA,25.4,17,4100.8,50258,"Napa County "
"National City",60960,12.5,54260,8.1,30.1,11,49.4,35.1,5.6,1,18.6,0.9,5.4,59.1,48.5,41.3,70.2,57.2,9,24,15422,35,141500,15018,3.39,29826,11582,22,728102,1308965,22872,105168,3064,4.3,NA,NA,44.8,NA,23.8,7,7342.4,50398,"San Diego County "
"Newark",41891,-1.4,42471,7.2,27.3,7.8,49.6,52.2,4,0.6,21.3,1,7.1,28.6,59.5,31.6,44.8,79.2,24.2,30.5,13150,70.6,303700,12992,3.26,69350,23641,5.5,729311,815146,18945,98032,3000,NA,NA,33.1,NA,NA,28.9,13,3040.2,50916,"Alameda County "
"Newport Beach",80006,3.7,70032,4,15.7,17.6,50.5,92.2,0.5,0.3,4,0.1,1.7,4.7,45.1,10.7,12.7,96.7,58.5,24.3,37288,55.7,708200,33071,2.09,83455,63015,4.4,1835306,1791845,22621,417205,17110,NA,NA,6.6,NA,NA,23,14,4738.3,51182,"Orange County "
"Norwalk",105240,0.9,103298,8.6,32.1,9,50.5,44.8,4.6,1.2,11.5,0.4,4.7,62.9,56.2,36.4,61.6,63,10.6,27.5,27554,65.8,161100,26887,3.79,46047,14022,11.9,518630,781568,7357,75500,5360,6.1,NA,31.1,36.9,NA,32.6,9,10671.3,52526,"Los Angeles County "
"Novato",51518,8.1,47630,5.9,23.1,13,51.6,82.8,2,0.5,5.2,0.2,3.9,13.1,53.7,17.2,21.2,90.5,37,34.8,18994,67.6,381400,18524,2.52,63453,32402,5.6,543847,866452,18021,83514,6118,NA,NA,NA,7.6,NA,35.8,27,1719.5,52582,"Marin County "
"Oakland",397067,-0.6,399484,7.1,25,10.5,51.7,31.3,35.7,0.7,15.2,0.5,5,21.9,51.5,26.6,36.8,73.9,30.9,31.1,157508,41.4,235500,150790,2.6,40055,21936,19.4,3565596,2518773,6276,535149,34050,17.5,1.5,14.8,8.6,NA,37.2,56,7126,53000,"Alameda County "
"Oakley",28822,12.4,25619,8.5,34.5,5.4,49.5,75.5,3.4,0.9,2.9,0.3,6.5,25,53.4,9.6,18.6,84.8,13.7,44,7946,85.1,187400,7832,3.26,65589,21895,5,NA,101690,3901,NA,1560,NA,NA,NA,NA,NA,NA,12,2062.7,53070,"Contra Costa County "
"Oceanside",165803,3,161029,7.6,27.6,13.6,50.5,66.4,6.3,0.9,5.5,1.3,5.2,30.2,44.1,20.5,32.2,80.8,22.2,28.7,59581,62.1,195800,56488,2.83,46301,20329,11.6,876852,1166531,7075,169514,11418,4.6,NA,8.3,19,NA,35.2,40,3967.2,53322,"San Diego County "
"Ontario",173351,9.7,158007,9.7,34.4,5.9,49.9,47.8,7.5,1.1,3.9,0.4,5.3,59.9,48.9,31,53,62.5,10.5,30.5,45182,57.6,140000,43525,3.6,42452,14244,15.5,9096144,2422288,14707,320207,9916,NA,NA,11.1,30,NA,23.8,49,3174.1,53896,"San Bernardino County "
"Orange",135070,4.2,128821,7.4,26.7,9.6,49.8,70.5,1.6,0.8,9.3,0.2,3.8,32.2,49.8,25.1,36.7,80.4,28,25,41904,62.6,256600,40930,3.02,58994,24294,10,4209775,1820968,13809,292327,13966,NA,NA,NA,9,NA,21.7,23,5507.5,53980,"Orange County "
"Oxnard",184463,8.1,170358,8.9,31.8,8.1,48.9,42.1,3.8,1.3,7.4,0.4,4.7,66.2,51.9,36.9,62.1,59.5,13.7,23.3,45166,57.3,189400,43576,3.85,48603,15288,15.1,1542118,1830608,10313,172831,9592,3.8,NA,12.2,34.9,NA,25.1,25,6730.9,54652,"Ventura County "
"Pacifica",37327,-2.8,38390,5.7,23.2,9.7,50.7,69.5,3.3,0.5,15.3,0.7,6.6,14.6,61.7,18.7,24.4,91.5,33.8,30.8,14245,68.6,367700,13994,2.73,71737,30183,2.9,NA,134643,3578,31307,3148,NA,NA,15.4,13.3,NA,34.8,12,3039.6,54806,"San Mateo County "
"Palm Desert",47047,14.3,41155,4.5,17.3,27.6,51.9,86.8,1.2,0.5,2.6,0.1,2.4,17.1,40.4,16,20.4,88.9,31.4,19.7,28021,66.9,189100,19184,2.13,48316,33463,9.2,NA,1030662,23169,285256,6793,NA,NA,NA,NA,NA,25.2,24,1688.8,55184,"Riverside County "
"Palm Springs",47806,11.8,42807,4.7,17,26.2,48.1,78.3,3.9,0.9,3.8,0.1,3.1,23.7,47,21.4,27.6,81.7,26.6,21.4,30823,60.8,157000,20516,2.05,35973,25957,15.1,NA,486157,10913,272028,5904,NA,NA,NA,NA,NA,26.9,94,454.2,55254,"Riverside County "
"Palmdale",138790,18.8,116670,9.3,38,5.6,50.9,54.8,14.5,1,3.8,0.2,5.2,37.7,46.4,19.8,34.7,74,13.3,42.9,37096,71,116400,34285,3.4,46941,16384,15.8,NA,947547,7648,105213,7558,12.3,NA,4.1,NA,NA,NA,104,1111.6,55156,"Los Angeles County "
"Palo Alto",57809,-1.3,58598,5.1,21.2,15.6,51.1,75.8,2,0.2,17.2,0.1,3.2,4.6,55.4,26.5,28.6,96.2,74.4,21,26048,57.2,811800,25216,2.3,90377,56257,4.8,841101,1400433,24425,257241,9257,NA,NA,NA,2.2,NA,28,23,2475.6,55282,"Santa Clara County "
"Paradise",26389,-0.1,26408,4.3,20.4,27.2,53.4,93.7,0.2,1.1,1,0.1,2.6,4.3,54.1,3.7,5.4,85.7,19.4,22.4,12374,70.9,129100,11591,2.22,31863,19267,12.4,2315,150754,5661,18358,2249,NA,NA,NA,NA,NA,15.4,18,1447,55520,"Butte County "
"Paramount",56369,2.1,55266,11,36.9,5.2,50.9,34.7,13.6,1.1,3.3,0.8,4.8,72.3,47.9,40.6,71.8,50,7,27.1,14591,42.9,154300,13972,3.93,36749,11487,21.9,991280,335764,5960,32758,3349,NA,NA,NA,41.9,NA,NA,4,11684.1,55618,"Los Angeles County "
"Pasadena",144133,7.6,133936,6.9,23.1,12.1,51.1,53.4,14.4,0.7,10,0.1,5.4,33.4,49.6,32.3,45,79.5,41.3,25.9,54132,45.8,286400,51844,2.52,46012,28186,15.9,3786394,2198589,15765,455974,16181,7.4,2,9.1,NA,NA,27.7,23,5798.1,56000,"Los Angeles County "
"Perris",51397,42,36189,10.8,39.6,6.2,51,41.2,15.9,1.5,2.7,0.3,5.8,56.2,41.8,27,50.1,61,6.6,37.9,10553,68.1,91300,9652,3.73,35522,11425,20.4,NA,541636,14032,27770,1838,NA,NA,NA,NA,NA,26.5,31,1153.6,56700,"Riverside County "
"Petaluma",54660,NA,54548,6.6,26.2,11,51.1,84.2,1.2,0.5,3.9,0.2,4,14.6,54.5,14.4,18.3,85.9,30.1,33.8,20304,70.1,289500,19932,2.7,61679,27087,6,797400,780510,14170,82347,6141,NA,NA,4.1,NA,NA,25.2,13,3952.8,56784,"Sonoma County "
"Pico Rivera",64336,1.4,63428,8.2,31,11,50.9,49.4,0.7,1.4,2.7,0.1,5.4,88.3,64.3,33.9,72.6,55.1,7.1,27.1,16807,70.4,166800,16468,3.83,41564,13011,12.6,761492,263171,4084,48153,3379,NA,NA,6.4,55.6,NA,NA,8,7641.9,56924,"Los Angeles County "
"Pittsburg",63017,11.2,56769,8.3,30.8,8.2,50.9,43.5,18.9,0.8,12.6,0.9,7.2,32.2,51.6,24.8,38.5,75.7,14.7,37.3,18300,62.8,165100,17741,3.17,50557,18241,11.5,206138,587019,9755,45500,2975,NA,NA,13.9,17.7,NA,28.3,15,3639,57456,"Contra Costa County "
"Placentia",49943,7.3,46488,7.4,27,9.1,50.4,67.8,1.8,0.8,11.2,0.2,3.6,31.1,50.1,24.5,35.5,81.5,31.3,26.3,15326,69,264500,15037,3.07,62803,23843,8.7,624828,306243,6423,51365,4157,NA,NA,11.5,NA,NA,32.2,6,7054.3,57526,"Orange County "
"Pleasant Hill",33191,1.1,32837,6.1,21.3,13.2,51.5,81.8,1.5,0.5,9.4,0.3,4.2,8.4,52.1,14,17.7,93.1,42.5,30.3,14034,63.5,294000,13753,2.35,67489,33076,5,179926,576788,17284,71888,3559,NA,NA,NA,NA,NA,32,7,4631.5,57764,"Contra Costa County "
"Pleasanton",66397,4,63654,6.8,28.2,7.6,50.9,80.4,1.4,0.3,11.7,0.1,3.7,7.9,48.3,14.2,17.4,94.2,47.3,33.3,23968,73.4,435300,23311,2.72,90859,41623,2.6,9044670,1265983,19253,165624,7002,NA,NA,NA,5.9,NA,22.5,21,2937.4,57792,"Alameda County "
"Pomona",154271,4.3,149473,9.4,34.6,6.4,49.4,41.8,9.6,1.3,7.2,0.2,5,64.5,51.1,36.7,62.8,54.9,12.8,31.9,39598,57.3,137700,37855,3.82,40021,13336,21.6,1403162,924239,6110,111253,7897,NA,NA,9.6,NA,NA,NA,22,6544.4,58072,"Los Angeles County "
"Porterville",45716,15,39615,9.5,34.3,9.4,50.9,54.8,1.3,1.7,4.6,0.2,4.7,49.4,46.3,22.6,43.3,61.7,11,20.9,12691,56.4,93500,11884,3.2,32046,12745,25.7,54221,434676,10510,39312,2137,NA,NA,NA,23.2,NA,NA,14,2827.6,58240,"Tulare County "
"Poway",48117,0.2,48044,6,30.7,8.6,50.8,82.9,1.7,0.5,7.5,0.3,4,10.4,54.9,10.6,14.8,93.1,39.3,25.8,15714,77.7,284200,15467,3.08,71708,29788,4.3,890464,760892,15591,52460,4648,NA,NA,NA,NA,NA,NA,39,1225,58520,"San Diego County "
"Rancho Cordova",59921,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59444,"Nevada County "
"Rancho Cucamonga",170714,33.6,127743,7,29.9,6.1,50,66.5,7.9,0.7,6,0.3,5.4,27.8,50.8,13.8,25,86,23.3,32.1,42134,70.2,182200,40863,3.04,60931,23702,7.1,2510294,1033252,7200,147318,11003,NA,NA,10.9,NA,NA,34.8,37,3411,59451,"San Bernardino County "
"Rancho Palos Verdes",41754,1.8,41145,4.9,23,18.7,51.6,67.2,2,0.2,25.9,0.1,3.4,5.7,60.8,26.8,32.1,95.8,58,33.1,15709,81.6,560500,15256,2.66,95503,46250,2.9,100044,75471,1807,NA,4381,NA,NA,22.7,NA,NA,29.3,13,3012.1,59514,"Los Angeles County "
